fiscal_year,health_authority,hospital_name,procedure_group,waiting,completed,completed_50th_percentile,completed_90th_percentile
2010/11,All Health Authorities,All Facilities,CSF Drainage,9.0,82.0,1.9,6.1
2010/11,All Health Authorities,All Facilities,Cataract Surgery,14382.0,49420.0,7.7,23.7
2010/11,All Health Authorities,All Facilities,Cholecystectomy,1609.0,5910.0,5.0,21.1
2010/11,All Health Authorities,All Facilities,Colostomy/Ileostomy,194.0,579.0,6.1,26.1
2010/11,All Health Authorities,All Facilities,Cone Biopsy,60.0,589.0,3.6,10.3
2010/11,All Health Authorities,All Facilities,Cranial Surgery,112.0,988.0,1.1,7.2
2010/11,All Health Authorities,All Facilities,Cyst/Ganglion Removal,439.0,1258.0,5.9,23.6
2010/11,All Health Authorities,All Facilities,D&C and Related Surgery,968.0,5840.0,4.0,14.9
2010/11,All Health Authorities,All Facilities,Dental Surgery,2368.0,5299.0,7.0,31.9
2010/11,All Health Authorities,All Facilities,Endarterectomy,156.0,698.0,2.7,10.5
2010/11,All Health Authorities,All Facilities,Esophagectomy,23.0,120.0,3.0,10.9
2010/11,All Health Authorities,All Facilities,Examination Under Anaesthetic,189.0,575.0,4.6,16.1
2010/11,All Health Authorities,All Facilities,Excision Gynecomastia,104.0,201.0,6.6,33.0
2010/11,All Health Authorities,All Facilities,Excision Lesion/Tumour,581.0,2342.0,3.4,14.0
2010/11,All Health Authorities,All Facilities,Facial Bone Reconstruction,431.0,781.0,4.6,40.3
2010/11,All Health Authorities,All Facilities,Fallopian Tube/Ovarian Surgery,1224.0,4056.0,5.7,22.3
2010/11,All Health Authorities,All Facilities,Fistula Repair - Non Vascular,45.0,144.0,4.1,18.6
2010/11,All Health Authorities,All Facilities,Foot/Ankle Surgery,483.0,862.0,9.7,34.6
2010/11,All Health Authorities,All Facilities,Foreign Body Removal Surgery,38.0,216.0,3.0,13.1
2010/11,All Health Authorities,All Facilities,Fracture Repair,223.0,1466.0,0.6,10.1
2010/11,All Health Authorities,All Facilities,Free Flap Graft,22.0,108.0,2.4,13.5
2010/11,All Health Authorities,All Facilities,Gastrostomy/Jejunostomy,14.0,44.0,1.1,5.4
2010/11,All Health Authorities,All Facilities,Hand/Wrist Surgery,884.0,2150.0,6.9,27.1
2010/11,All Health Authorities,All Facilities,Hernia Repair - Abdominal,4089.0,11340.0,8.0,32.7
2010/11,All Health Authorities,All Facilities,Hernia Repair - Hiatal,243.0,306.0,10.0,49.1
2010/11,All Health Authorities,All Facilities,Hip Replacement,1949.0,4419.0,12.9,29.0
2010/11,All Health Authorities,All Facilities,Kidney/Bladder Stone Removal,224.0,1285.0,3.1,10.6
2010/11,All Health Authorities,All Facilities,Knee - ACL Repair,824.0,1898.0,8.7,32.3
2010/11,All Health Authorities,All Facilities,Knee - Meniscectomy,639.0,2581.0,7.4,28.1
2010/11,All Health Authorities,All Facilities,Knee Arthroscopy,2661.0,6347.0,7.9,31.7
2010/11,All Health Authorities,All Facilities,Knee Replacement,3945.0,6867.0,14.7,34.1
2010/11,All Health Authorities,All Facilities,Laparoscopy,430.0,1738.0,5.4,19.9
2010/11,All Health Authorities,All Facilities,Laparotomy,62.0,493.0,2.7,10.3
